10000 30000
66 6842 17
67 293 11
67 5095 4
67 9560 4
67 9232 18
68 210 12
68 6792 17
68 6944 3
68 912 4
68 9095 2
68 8562 4
69 6688 10
69 1893 13
69 4693 2
69 5157 5
69 278 7
69 6915 12
69 9502 8
70 2556 11
70 1616 19
70 7807 13
70 8695 17
70 5997 6
70 1395 17
70 2647 19
70 3316 1
70 6312 4
70 7607 9
70 9180 2
70 1974 18
71 8689 4
71 3261 5
71 6082 8
71 1848 11
71 714 14
71 4205 8
71 5347 3
71 782 13
71 8946 16
71 2988 13
71 2938 13
72 6370 2
72 7869 5
72 480 15
72 8918 4
72 5184 13
72 6882 18
72 7731 19
73 433 6
73 317 15
73 9481 17
73 7160 18
73 8815 18
73 9677 9
73 7897 15
73 5268 17
74 6861 15
74 7716 3
74 616 18
74 9888 3
74 8569 20
74 4406 7
75 7927 18
75 6778 8
76 6280 10
76 4277 16
76 797 15
76 9433 2
76 5355 12
76 5621 3
76 2218 1
76 5587 9
77 950 16
77 4758 8
77 925 1
77 5015 18
78 522 1
78 3959 6
78 6258 17
78 8686 6
78 7546 4
78 968 7
78 2684 4
79 2762 3
79 4913 10
79 8402 17
79 4082 6
79 9258 10
79 4769 3
79 4179 10
80 8807 8
80 3216 1
80 2354 9
80 7962 10
80 4828 10
80 5539 13
80 6177 19
80 3146 15
80 1224 18
80 2276 19
81 6131 10
81 8671 5
81 8647 11
81 7015 19
81 7779 14
81 7063 8
81 9411 10
81 5751 19
82 9383 1
82 8953 1
82 4467 3
82 957 19
82 9069 15
83 9399 14
83 5010 17
83 6194 20
83 1573 8
83 8537 8
83 7138 9
84 9016 12
84 6420 1
84 1755 2
84 1076 9
84 187 4
85 1499 20
85 7424 12
85 5891 3
85 9826 3
85 5128 7
85 6259 2
86 7349 7
86 1492 1
86 6683 15
86 3622 13
87 4155 13
87 2948 3
87 9096 16
87 4663 1
87 1101 13
88 1022 4
89 3096 13
89 9195 13
89 7352 18
89 291 9
90 1746 14
90 5429 10
90 2347 18
91 4393 5
91 5109 1
91 9604 20
91 5308 17
91 6330 16
91 9838 5
91 4216 17
91 7295 10
92 4178 17
92 6620 3
92 8863 17
92 9781 4
93 4080 18
93 4499 13
93 2520 19
93 1723 13
93 190 20
93 1366 5
93 229 8
93 2545 9
93 8682 9
94 8904 9
94 6263 2
94 2565 11
94 3194 12
94 397 15
94 255 5
95 9735 10
95 6470 16
95 5885 15
95 9365 6
95 5159 3
95 4532 8
95 8516 19
96 5763 14
96 1036 7
96 5828 13
96 3828 5
96 1330 1
96 2145 19
96 5984 3
96 8501 14
96 2511 1
96 9571 9
97 6601 19
97 3540 10
97 1642 4
97 8796 16
98 4255 6
98 7203 7
99 1058 3
99 7496 20
99 5876 1
99 4696 3
99 4114 15
100 2972 2
100 1865 13
100 982 14
100 9023 17
100 5120 13
100 9151 8
100 4852 15
100 5353 5
101 5325 4
101 1642 18
102 2230 12
102 7888 18
102 8818 19
102 9012 7
102 7929 12
102 2300 17
102 4494 9
103 8316 2
103 7955 10
103 7451 16
103 8287 2
103 4553 12
104 6756 15
104 6718 3
104 118 6
104 4813 14
104 2736 11
104 2452 13
104 6697 12
104 4191 13
104 769 9
104 895 4
105 5047 14
105 7945 11
105 2484 13
105 8668 13
105 5308 14
106 4557 15
106 7988 4
106 8419 11
106 4613 15
106 5172 4
106 9765 3
106 9039 4
106 2092 5
106 8185 2
107 4920 16
107 4009 1
107 6811 4
107 2748 17
107 2191 1
107 2225 11
107 7405 17
108 257 19
108 9899 7
108 8871 12
108 6708 19
108 7716 14
108 8187 16
108 9904 19
108 6025 6
108 6631 14
108 2984 6
109 8001 12
109 8768 11
109 9446 5
109 2424 12
110 6483 15
110 3018 14
110 7831 3
110 4757 12
110 4742 1
110 4667 8
110 5560 7
110 6672 12
111 4064 20
111 9987 17
111 3821 9
111 6430 18
112 529 2
112 7863 17
112 5995 14
112 856 3
112 4657 17
112 7688 14
112 7187 17
112 358 7
113 2549 1
113 5523 9
113 6131 7
113 3782 9
113 871 5
113 8862 6
113 9508 19
113 811 20
113 5005 16
113 221 18
114 4123 12
114 2982 7
114 7706 5
114 1567 4
114 9715 1
114 6651 3
114 9360 8
115 8002 8
115 3723 19
115 4861 18
115 9794 19
115 4196 7
116 9469 1
116 3212 19
116 4994 1
116 5470 9
116 784 1
116 2602 2
116 1942 8
116 3040 16
116 376 14
116 820 12
117 1163 18
117 8515 10
117 8052 19
117 4983 1
117 7109 4
118 3788 10
118 9542 2
118 6154 11
118 264 14
118 8804 11
118 1310 1
118 4735 5
118 4768 12
118 1452 15
119 6962 18
119 2194 16
119 6026 2
119 3176 20
119 8601 2
119 2904 20
119 6255 11
120 1676 20
120 8736 2
120 4610 5
120 3558 15
121 9468 20
121 3304 19
121 2689 1
121 5163 9
121 2954 13
121 1621 7
121 4164 13
121 7713 20
121 8775 3
121 4429 20
121 3843 19
121 4084 4
121 3271 17
122 923 7
123 8911 17
124 6138 14
124 2807 9
124 3673 17
124 3634 18
124 5870 7
125 897 13
125 7954 5
125 7154 14
125 8768 19
126 8149 14
126 2305 3
126 8415 14
126 3432 7
127 9724 13
127 8421 15
127 8200 16
127 7913 3
127 4940 15
127 225 15
127 5368 11
127 1045 6
128 9086 20
128 6438 14
128 3396 19
128 9119 10
128 4607 6
129 5469 13
129 5638 20
129 2600 4
129 9382 12
129 9977 9
129 3107 18
129 2213 20
129 8601 15
130 7483 18
130 2532 18
130 4029 3
130 2936 9
130 9355 4
130 6271 5
130 2049 9
130 816 11
130 7539 6
130 1680 15
131 7116 16
131 5375 2
131 4357 12
131 1626 2
131 9961 18
132 4497 16
132 152 11
132 8481 11
132 6179 2
132 4743 11
132 4488 14
132 3342 6
132 5499 9
132 5282 10
133 8793 18
133 9547 3
133 6662 18
133 9871 18
133 9083 18
134 7183 13
134 2706 15
134 4478 17
134 1622 19
134 7923 12
135 4326 1
135 4075 4
135 2460 8
135 232 19
135 2363 4
135 442 19
136 8059 7
136 1091 17
136 1805 15
136 6997 2
136 8714 15
137 193 9
137 174 3
137 4827 10
137 7110 6
137 7088 1
137 8194 4
137 4881 8
137 8154 9
137 3521 20
137 3554 18
137 9546 10
137 3952 7
138 9228 18
138 9849 6
138 173 18
138 2903 3
138 5056 10
138 2935 1
138 4881 10
138 3810 13
138 7472 6
138 2406 10
139 4278 16
139 3690 18
139 1348 14
139 4952 7
139 9905 12
139 7335 15
139 8620 6
140 9313 7
140 5576 14
141 1741 6
141 7251 16
141 2315 8
141 2199 8
141 3467 2
142 351 17
142 5497 19
142 7705 1
142 7123 8
142 1446 10
142 5234 11
142 877 10
142 8915 10
143 4024 13
143 9444 17
143 591 10
144 1879 8
144 4216 6
144 7483 3
145 7767 2
145 1660 20
145 8401 11
145 7207 10
145 4969 20
145 6360 13
145 432 18
145 469 14
145 1186 4
146 3982 16
146 2992 15
146 6865 7
146 5540 2
147 7280 16
147 7305 19
147 3078 1
147 9524 19
148 7917 20
148 3892 3
148 5052 19
148 1140 20
149 3583 17
149 7052 9
149 3205 13
149 4536 15
149 5293 14
149 4578 3
149 2291 15
149 386 1
150 6476 20
150 6971 19
151 613 12
151 4861 4
151 2096 3
151 629 2
151 4075 7
151 8717 12
151 5337 13
151 6093 6
152 7508 11
152 3366 16
152 2233 13
152 8088 5
152 6069 3
153 4183 2
153 7283 20
153 1742 2
153 993 5
154 919 17
154 5974 1
154 7088 12
154 349 15
155 1651 19
155 4244 11
155 9853 12
155 7835 1
156 2843 1
156 5152 2
156 6167 9
157 7939 10
157 5488 9
157 5219 3
157 9530 12
157 3216 14
157 4681 13
157 7739 8
157 4597 2
157 8396 12
157 9785 15
157 4818 6
158 1832 16
158 2267 12
158 5006 14
158 220 5
158 963 6
158 3564 1
158 8514 6
158 1686 4
159 8776 15
159 2893 11
159 2797 18
159 2994 19
159 6433 6
159 2425 18
159 5600 7
159 2937 19
160 7763 1
160 4193 11
160 5491 7
160 1682 15
160 8504 1
160 6441 4
160 9737 8
161 1604 16
161 981 13
161 5177 1
161 6593 15
161 484 6
161 7361 1
161 7488 7
162 8476 5
162 5944 9
162 9189 17
162 5352 20
162 5810 7
162 3098 5
163 3763 8
163 510 15
163 9607 16
164 3721 12
164 2284 14
164 3195 16
164 1355 16
164 4733 20
164 5255 9
165 540 13
165 7443 13
166 9106 18
166 2927 11
166 4004 7
166 9973 6
166 5509 9
166 6718 4
166 2697 10
167 6704 17
167 2073 10
167 4938 5
167 8939 14
167 4573 18
167 4941 20
168 4942 17
168 1555 18
168 7296 2
168 7369 16
169 7682 15
169 6130 12
169 5799 16
169 2909 10
169 3961 14
170 938 12
170 2273 17
170 6479 11
170 1307 15
170 6561 18
170 9502 12
170 4953 13
170 5334 10
171 3563 12
171 7334 3
171 2319 19
171 6983 6
171 6564 9
171 559 5
172 1735 15
172 7775 19
172 1783 8
172 1595 9
173 3913 13
173 7428 18
173 6602 5
173 975 20
173 9388 18
173 5315 12
173 8442 3
173 475 13
173 722 12
173 5409 5
174 3208 6
174 2140 17
174 3357 16
174 3735 7
174 3363 11
174 3594 4
175 7192 3
175 618 18
175 6946 15
175 7168 16
175 7402 17
175 4416 13
176 8765 8
176 1921 9
176 5610 3
176 9343 9
176 7575 10
176 7835 18
176 7408 16
176 1167 16
176 318 15
176 1306 10
177 1258 15
177 5221 14
178 6494 7
178 5388 19
178 4885 15
178 5914 3
178 9087 1
179 5064 7
179 2926 3
179 1977 17
180 2815 18
180 9511 15
180 844 6
181 2718 16
181 5700 16
181 8470 19
181 6288 14
181 4904 2
181 5148 14
182 9068 18
182 7303 17
182 9557 17
182 7216 13
182 905 15
182 2225 10
183 1271 6
183 4493 1
183 6092 11
183 8974 1
183 9336 11
183 2953 16
183 5256 18
183 2309 10
183 1115 13
184 225 6
184 565 5
185 2684 3
185 3296 13
185 4670 7
185 3526 9
185 1393 14
185 8856 11
185 8019 3
186 7317 18
186 371 13
186 4863 11
186 6829 4
186 2587 12
187 9386 8
187 6266 3
187 220 5
187 3204 3
187 8786 10
187 3427 3
188 9064 8
188 542 17
188 7170 5
188 6131 20
188 208 17
188 5330 16
189 9720 20
189 7964 2
189 1735 18
189 9676 14
189 6212 17
189 1091 14
190 894 11
190 2200 4
190 1966 9
190 7273 14
190 4177 14
191 9373 2
191 4201 4
191 6490 16
191 8016 1
191 453 12
192 5416 19
192 7295 8
193 9884 20
193 5006 14
193 2893 15
193 2773 2
194 6739 4
194 4731 11
194 7733 12
194 7613 6
194 3578 6
194 8132 13
194 2474 10
194 4546 3
195 1010 5
195 1113 9
195 9473 13
195 2820 12
195 672 11
195 5914 5
195 9961 20
195 5796 12
195 7864 16
196 6376 18
196 7306 15
196 7780 7
196 689 11
196 8304 4
196 1839 13
196 4788 18
196 1820 8
197 8655 5
197 4250 1
197 1120 6
197 3845 6
197 561 15
197 7668 4
197 3156 3
197 5991 7
197 2509 3
198 2178 17
198 9566 2
198 7656 2
198 3253 5
199 4663 3
199 9329 9
199 1847 20
199 4981 17
200 1680 2
200 7514 2
200 2635 18
200 6623 9
200 502 15
200 3839 11
200 900 11
201 721 12
201 1682 15
201 9225 16
201 5237 8
201 6984 10
201 311 7
202 4781 5
202 7506 18
202 8598 6
202 1912 8
202 2036 20
202 5077 3
202 4933 7
202 2947 5
202 5892 3
202 4107 18
202 7756 8
203 6662 14
203 2381 13
203 1878 19
203 8855 9
203 6112 20
204 1262 17
204 9913 8
204 3123 12
204 1190 19
204 2859 17
204 7623 1
205 5618 17
206 1998 9
206 8669 13
206 5793 20
206 5103 17
206 9834 16
206 2518 7
206 684 5
206 409 19
206 4883 15
206 4430 11
207 5590 17
207 2248 9
207 4413 11
207 5275 14
208 7775 5
208 6071 16
208 1485 4
208 1588 7
208 7010 15
208 5380 2
209 8564 5
209 8055 9
209 6856 10
209 7620 13
209 9891 20
210 1937 17
210 1464 9
210 780 12
210 2478 19
210 6091 18
211 2243 20
211 1361 1
211 3903 20
212 4117 2
212 9941 13
212 8036 13
212 3394 1
212 8028 19
212 7648 10
212 6194 15
213 6438 17
213 9463 7
213 2090 2
213 4405 14
213 9066 5
213 2596 14
213 7067 10
214 1161 13
214 8583 11
214 8749 17
214 4738 18
215 3541 19
215 8468 19
215 8628 18
215 5516 16
215 4651 6
215 6690 9
215 6069 9
216 4698 10
216 531 13
216 5568 8
216 3515 3
216 7186 5
217 1911 17
217 3811 9
217 9449 5
217 7976 2
217 7514 19
217 6975 6
217 5736 15
217 5721 10
218 9122 19
218 8257 8
218 2531 19
219 2930 2
219 3304 19
219 716 17
220 603 3
220 5921 3
221 9824 5
221 3924 5
221 3304 2
222 1802 6
222 7516 3
222 1175 11
222 2258 4
222 803 5
222 1883 17
222 8517 12
223 3874 3
223 9040 7
223 4074 13
223 2655 17
223 4476 9
223 8167 2
223 4628 11
223 372 10
223 8188 4
223 9361 13
224 9048 11
224 3726 6
225 4295 8
225 4713 16
225 1814 1
225 7753 1
225 655 18
225 5225 15
225 7192 16
225 7638 16
225 9024 12
225 6209 3
226 7793 20
226 308 2
227 2213 2
227 3115 7
227 1567 6
227 3095 6
227 9666 14
227 7084 1
227 3502 16
227 4234 8
228 6464 10
228 5991 15
228 3980 17
228 7364 10
228 9554 8
228 8261 6
228 3092 14
229 9472 15
229 1231 9
229 7976 18
229 4745 10
229 7551 14
229 8376 9
229 7217 8
229 4135 3
229 9665 2
229 4259 7
230 3050 5
230 5279 7
230 7233 8
230 7092 18
231 8751 12
231 8615 9
231 3156 8
231 1616 15
231 2617 14
231 5597 16
231 5011 8
231 2266 2
232 1827 12
232 5185 18
232 8459 11
232 9319 18
232 3281 6
232 5137 3
232 9388 20
232 6316 14
232 8693 9
233 6223 11
233 7825 20
233 714 20
233 8423 14
233 8596 18
233 4485 5
233 4235 5
233 5712 9
234 2984 7
234 8906 3
234 9542 5
234 390 3
235 2822 5
235 6066 12
235 2860 12
235 5091 17
235 5376 17
235 4918 20
235 7734 17
235 4327 7
235 3883 20
235 2134 6
236 1542 7
236 501 1
237 7014 16
237 4678 18
237 4530 4
237 9834 9
238 5523 4
238 3875 5
238 5886 11
238 4698 15
238 1573 1
238 4462 14
238 3812 15
239 4430 2
240 7308 15
240 4959 16
240 5143 20
241 1528 6
241 2468 10
241 330 9
241 515 11
241 9378 10
241 7698 16
241 6188 11
241 5356 20
242 9467 15
242 7960 3
242 7031 4
242 2544 8
242 5595 4
243 5869 12
243 5489 14
243 6290 17
243 6737 16
243 3053 7
244 1595 4
244 4094 2
244 1640 5
244 3549 10
244 1916 6
244 2593 13
244 8995 10
244 6206 11
244 4487 20
244 4819 14
244 1624 8
245 4421 19
245 2844 9
245 8795 14
245 8868 17
246 2742 10
246 8565 12
246 5924 17
247 6971 7
247 7095 4
247 5607 1
247 9271 19
247 446 1
247 581 7
247 4987 12
248 4598 18
248 2817 12
248 8585 17
249 1875 16
249 523 5
249 1995 13
249 7999 7
249 256 6
250 6285 16
250 7603 12
250 9951 2
251 7486 6
251 3470 16
251 1124 3
251 9173 20
252 7522 5
252 6509 13
252 3511 10
252 3190 6
252 6803 4
252 7337 1
253 5981 6
253 5183 8
253 7971 18
253 1786 15
253 8699 6
253 6338 17
253 9735 18
254 535 1
254 2732 16
254 2169 8
254 5257 14
254 4277 14
254 5458 10
255 4828 19
255 9357 16
255 1755 2
255 7337 13
255 555 20
255 4579 11
255 7676 19
256 6868 20
256 3394 1
256 2584 4
256 4194 19
256 9992 13
256 6298 9
256 1105 8
256 1924 8
257 1175 12
257 1491 14
257 2795 5
257 3892 7
257 8390 19
258 5304 11
258 2978 1
258 5254 6
258 5653 3
258 6703 3
259 4500 4
259 6109 17
259 2489 16
259 7684 1
259 2889 2
259 9729 1
260 7860 2
260 3083 18
260 2190 5
260 1826 6
260 9220 5
260 5737 2
260 7743 12
260 2961 8
261 9671 5
261 3042 6
261 6544 2
261 1894 18
262 1497 19
262 3531 8
262 2281 19
262 532 12
262 6653 13
262 9378 2
263 4354 17
263 4358 19
263 2344 17
263 3155 1
263 9373 10
264 5789 14
264 8957 13
264 1331 3
264 5866 15
264 1722 4
264 1996 1
264 6247 3
264 4235 10
264 2686 16
265 4272 18
265 5960 6
265 9268 9
265 385 15
265 2217 12
265 706 19
266 5850 20
266 2035 4
266 1866 4
266 5527 16
266 1032 7
266 2202 19
266 3982 2
266 9133 13
266 4120 14
266 3776 11
266 530 2
266 6787 13
267 8480 17
267 8220 17
268 606 17
268 1553 12
268 2331 15
268 1488 14
268 6694 2
268 5832 6
268 1870 15
268 5128 7
269 8782 4
269 1468 14
269 9214 1
269 2125 8
269 5569 12
269 9078 2
269 5249 5
269 1458 10
270 3566 11
271 3315 1
271 3941 13
271 8853 7
271 6549 5
272 6035 15
272 5901 2
272 2919 12
272 2314 5
272 5311 9
272 6778 3
272 4513 14
272 7639 20
272 5016 9
272 6563 11
273 1195 14
273 5450 10
273 3255 13
273 1936 18
273 1689 14
273 8338 13
273 3790 15
273 5074 13
273 6442 9
274 8673 14
274 3933 20
274 6142 4
274 2610 9
275 1701 6
275 4425 17
276 6381 10
276 2042 1
276 7488 1
276 8328 1
276 2548 1
276 4164 4
276 7107 7
277 2030 15
277 9331 9
277 9460 7
277 3672 15
277 8861 17
277 5053 9
277 8532 16
278 8615 4
278 9557 1
278 8397 16
278 8714 8
278 8084 17
278 8587 6
278 5782 7
279 1592 6
279 5338 5
279 5988 11
279 9686 18
280 4697 8
280 6103 8
280 3840 16
280 2110 14
280 2998 6
280 7965 5
281 3330 7
281 3870 8
281 8615 9
281 2819 11
281 8854 2
281 9179 4
281 1726 11
282 7342 9
282 7581 4
282 6265 16
282 1528 16
282 8034 13
282 7232 12
283 5856 15
283 9497 18
284 2150 14
284 9294 14
284 4556 3
284 4682 2
284 9221 2
284 7080 2
284 2015 1
285 2627 12
285 406 20
285 7445 3
285 7054 4
285 3266 17
285 4922 13
286 8753 6
286 9193 9
286 6007 16
286 6176 20
286 5107 8
287 4252 20
287 7319 7
287 2516 7
287 4593 10
288 1702 17
288 9715 19
289 8955 3
289 5490 10
289 6984 2
289 9536 5
289 8133 13
290 1034 19
290 7636 13
290 8056 8
290 1440 3
290 5945 11
290 7387 12
290 2393 12
291 8148 17
291 3765 2
291 4538 1
291 3810 17
292 4670 16
292 6459 12
292 5873 16
292 9907 11
293 8755 15
293 6673 11
293 4699 4
293 1600 7
293 9479 4
294 690 17
294 8321 8
294 7520 18
294 1231 5
295 2794 7
295 7397 16
295 9412 2
295 2023 18
295 6535 9
295 4826 9
295 6821 9
295 3360 13
296 9052 18
296 3683 11
296 1708 1
296 8918 4
296 5137 7
296 8539 18
296 6039 3
297 770 8
297 4155 17
297 337 12
297 2458 10
297 5207 4
297 4012 18
297 8991 10
297 1003 6
298 5928 20
298 1415 8
298 7618 6
298 2240 13
298 1280 9
299 4254 11
299 8375 15
299 7808 2
299 1401 3
299 2305 16
299 6350 15
300 5954 8
300 5004 8
300 7195 16
301 2315 2
301 5681 3
301 4526 2
301 3277 14
301 4335 12
301 2317 7
301 3587 13
302 8231 2
302 3329 12
302 2378 10
302 5198 19
302 9216 16
303 4992 3
303 4427 6
303 9922 16
303 1353 19
303 2450 8
303 2267 3
304 8457 2
304 9593 18
304 696 5
304 1713 13
304 1886 6
305 8309 16
305 4644 15
305 8235 11
305 4409 14
305 4558 20
305 1196 20
305 5578 20
306 5965 1
306 8779 14
306 6788 1
306 4935 10
306 9626 4
306 3988 17
307 7147 14
307 8154 20
307 3794 13
307 7887 1
307 4863 20
307 8088 12
307 5822 13
308 1273 13
308 8115 4
308 4115 3
309 6388 18
309 2515 6
309 5348 18
309 1053 19
310 7225 5
310 2944 3
310 525 1
310 1385 16
310 7763 11
310 7750 17
310 4621 14
310 7812 10
311 1298 8
311 6914 12
311 4027 18
312 4792 8
312 8010 1
312 9847 19
312 1563 16
312 9108 11
312 6072 8
313 3742 7
313 3130 13
313 7843 7
313 9312 4
314 9398 9
314 6517 19
314 4541 5
315 6484 17
315 9855 19
315 7498 14
315 3941 19
315 3096 4
315 5851 17
316 7611 13
316 1651 4
316 2950 16
316 3532 11
317 8837 13
317 2492 18
317 5135 14
317 7645 7
318 9100 9
318 6989 11
318 6234 9
318 8263 19
318 3405 13
319 1832 9
319 6266 6
319 3313 6
319 1938 1
319 1497 14
319 6749 19
320 9432 19
320 5363 5
320 4049 11
320 5429 11
320 6340 17
321 7724 8
321 4303 2
321 4028 1
321 9004 7
321 3161 12
322 8821 18
322 1086 2
322 7887 18
322 6892 15
322 1167 12
323 1771 13
323 6640 8
323 7231 9
323 9112 10
323 6236 20
323 418 4
323 6194 2
323 7622 17
323 2554 17
324 5638 12
324 3629 8
324 7897 10
324 7805 18
324 5330 18
324 3204 8
324 1294 3
324 5803 20
324 5522 6
325 7329 15
325 4016 6
325 9750 15
325 3898 15
325 8682 17
325 6070 7
325 7931 10
326 3584 2
326 7960 16
326 8843 19
326 2792 7
326 9003 5
326 6372 17
326 1534 3
326 9087 18
327 1991 3
327 1571 13
327 8397 16
327 5009 3
327 6078 16
327 8991 15
328 5221 4
328 8409 4
328 591 1
328 3215 8
328 4213 10
328 4780 2
328 2936 6
329 2774 2
329 8875 16
329 8423 8
329 1040 14
329 3625 3
330 3940 16
330 1727 10
330 8501 11
330 4680 15
331 6102 9
331 4579 4
331 3495 16
332 1031 20
332 3455 3
332 1728 17
333 2496 9
333 9079 17
333 5231 1
333 2214 1
334 7695 2
334 4223 1
334 4752 1
334 3155 3
334 6339 8
334 1844 8
334 710 2
335 6241 6
335 8389 4
335 848 9
335 3784 18
336 3411 19
336 8604 1
336 7742 9
337 4589 1
337 6669 3
338 7862 3
338 8822 8
338 8243 19
338 7484 6
338 6750 4
338 1021 12
339 9619 18
339 376 3
339 6291 19
339 8508 5
339 8176 15
339 8206 16
339 3976 5
339 9548 9
339 1361 10
339 4957 8
339 1579 15
340 2643 14
340 7917 10
340 2723 11
340 8947 13
340 737 3
341 6636 17
341 2908 10
341 5014 14
341 5628 18
341 6153 19
341 2695 4
341 9519 12
341 8580 18
