500 2000
380 67 16
103 104 12
44 13 7
100 385 1
286 287 16
224 209 8
288 413 5
60 471 14
179 180 19
144 42 12
448 171 14
284 180 14
198 199 1
290 291 14
5 376 4
169 234 7
490 144 4
133 331 15
128 45 13
406 48 14
13 14 16
294 251 4
39 165 3
498 118 1
185 355 12
141 271 19
167 475 13
185 431 7
196 187 12
279 278 15
12 95 14
192 193 1
363 346 3
152 153 18
176 62 3
415 167 13
363 98 17
373 302 7
427 98 17
375 219 2
64 65 3
191 159 12
65 114 13
36 369 15
457 458 20
168 169 7
383 115 19
153 101 10
246 304 1
84 399 3
247 91 5
453 454 1
212 360 7
140 234 2
107 268 14
63 358 1
57 299 17
347 348 17
91 484 11
176 177 3
83 395 5
372 373 13
87 340 10
48 49 5
324 325 12
159 458 17
400 376 14
41 405 3
186 480 7
213 143 16
127 483 9
38 131 5
447 258 18
115 116 5
234 315 4
7 294 16
122 279 20
466 467 17
317 137 4
485 274 1
75 147 19
70 71 7
194 124 10
306 188 18
380 298 14
119 115 9
329 330 13
134 186 11
436 1 10
407 484 19
499 270 18
150 151 5
333 81 9
94 95 18
456 465 1
123 33 2
310 311 7
407 408 1
230 231 11
313 314 10
105 106 7
321 49 18
205 39 15
147 148 10
236 426 3
182 91 7
182 217 3
63 360 14
279 280 4
375 342 16
256 257 2
93 94 6
18 233 9
46 47 14
257 258 15
22 331 15
128 391 6
77 411 18
106 256 16
0 87 7
361 362 19
475 203 4
220 221 11
266 303 17
380 381 2
389 4 10
252 227 10
34 375 19
166 167 7
344 58 17
321 155 12
233 303 9
205 190 17
210 211 12
198 122 16
216 173 7
494 71 11
481 482 11
397 398 16
44 25 8
148 59 4
382 397 15
478 420 12
82 75 11
220 15 5
446 35 9
62 313 11
204 144 3
195 196 6
73 362 2
483 261 13
6 91 15
215 436 17
266 307 5
59 388 17
264 123 11
14 2 18
263 264 19
142 430 20
31 375 11
135 387 12
464 465 17
83 443 16
486 296 8
406 407 20
430 431 11
267 268 15
337 26 9
37 0 4
130 131 6
484 230 7
36 342 8
470 469 12
89 430 15
457 153 5
377 47 19
304 208 14
324 433 9
480 481 10
65 66 4
409 270 9
384 462 20
417 291 2
50 51 13
156 391 20
76 77 5
18 45 18
84 275 4
301 302 2
393 319 14
306 334 6
20 443 1
221 18 9
18 475 16
131 378 12
306 117 13
52 53 12
410 88 13
184 185 6
366 342 15
59 75 18
296 175 1
21 22 9
271 272 3
336 337 14
440 471 4
218 466 8
417 180 3
488 489 18
349 350 19
263 490 5
363 364 14
280 179 4
138 78 8
236 246 6
160 161 11
249 264 10
164 165 10
74 254 9
66 67 20
226 447 14
482 468 2
183 408 3
113 100 14
89 248 5
221 416 9
33 480 1
448 449 12
453 295 7
170 367 20
156 418 5
19 299 14
250 299 6
475 114 18
355 356 10
60 61 19
459 334 18
465 335 3
67 499 4
261 262 17
95 198 3
138 272 8
400 43 11
245 246 6
26 243 19
217 218 9
457 300 4
480 240 8
275 276 17
296 156 14
188 286 12
142 436 20
138 275 18
412 0 9
326 327 1
352 288 7
167 216 7
221 222 13
284 134 13
478 494 16
196 407 4
186 483 11
331 275 11
417 281 17
80 81 9
293 430 4
162 163 20
422 423 10
165 108 20
232 233 13
61 301 16
155 156 15
273 154 11
35 36 11
238 62 9
487 303 11
441 119 18
2 136 5
433 214 7
481 490 19
30 150 16
59 60 19
374 375 18
445 223 16
159 211 13
421 109 8
315 388 14
282 183 10
323 324 12
265 365 9
43 95 8
99 100 5
104 462 2
166 228 3
459 18 8
476 477 5
236 401 9
271 285 7
155 467 6
33 357 18
111 193 7
264 265 19
317 476 12
488 366 12
40 41 12
102 103 12
432 433 3
452 453 11
458 297 14
387 388 6
389 198 18
95 365 3
8 9 20
122 241 19
76 109 12
308 462 11
17 346 14
307 287 10
90 473 13
318 452 9
17 335 4
193 344 13
456 232 12
305 339 1
200 201 16
490 481 3
210 388 9
362 101 15
101 492 17
254 266 7
166 37 17
147 395 20
485 486 2
16 167 20
50 486 14
273 274 16
120 214 15
173 70 15
181 227 12
369 336 4
472 388 18
321 414 19
468 293 17
343 344 10
413 398 3
422 54 8
263 428 5
141 495 3
174 187 10
183 269 7
40 306 13
209 96 14
445 440 17
94 0 12
227 406 11
99 91 3
271 22 9
161 162 8
144 38 1
468 403 9
63 64 18
442 443 3
277 59 9
443 230 7
331 110 17
246 295 6
320 31 3
205 206 14
211 355 14
276 167 13
117 105 4
57 222 4
327 105 2
263 242 7
134 73 5
368 252 16
144 398 19
241 66 16
228 290 10
41 285 20
445 14 7
20 474 10
199 200 14
61 326 2
238 239 7
484 485 8
334 44 10
377 461 8
247 400 4
334 136 13
71 72 17
474 232 17
388 42 11
282 182 2
2 183 15
11 444 14
219 220 1
133 268 16
59 442 13
260 13 19
386 327 7
215 10 19
170 171 5
86 26 6
450 440 1
185 429 18
268 71 15
401 386 14
285 6 6
463 286 15
205 438 18
183 184 15
266 267 14
458 118 5
415 55 9
213 52 1
237 7 15
304 341 2
431 432 4
367 309 19
307 331 10
441 92 11
434 432 2
219 75 10
73 149 17
175 176 6
68 201 11
193 0 17
458 459 10
289 290 12
8 475 19
23 297 16
95 362 11
336 200 15
269 182 5
1 352 18
17 104 6
190 61 8
81 82 18
226 11 12
230 426 16
488 257 16
276 277 3
156 134 16
270 227 17
267 420 6
494 495 6
429 430 1
487 391 20
499 90 10
472 473 18
55 448 1
327 168 2
415 40 20
296 297 16
365 366 20
109 349 2
160 432 1
203 204 13
83 416 13
405 239 11
113 375 1
388 489 1
391 337 13
1 2 3
298 299 9
64 362 13
214 149 12
59 392 20
305 250 19
418 404 6
489 127 9
346 418 11
376 278 20
303 6 16
489 308 20
428 385 15
388 360 13
238 416 11
51 52 1
429 53 4
427 254 1
82 443 16
2 360 14
309 310 12
340 350 11
418 84 14
414 415 5
71 371 13
474 475 2
242 348 18
484 42 10
495 270 3
370 374 8
121 417 6
446 174 19
390 402 20
398 370 1
411 33 6
2 3 18
158 159 10
41 203 14
0 1 2
120 121 17
52 219 8
373 374 9
125 126 5
174 465 5
328 329 12
393 394 18
98 80 14
15 0 20
300 301 15
380 90 9
11 12 2
63 20 20
371 116 16
67 266 10
12 155 19
360 361 12
63 358 15
18 242 20
475 117 7
283 284 14
45 46 12
216 486 7
173 243 1
353 354 7
97 198 15
463 420 6
88 89 2
41 90 6
169 389 6
27 254 17
107 196 17
75 443 18
402 246 10
39 40 12
293 350 18
416 81 3
53 54 7
474 184 13
299 300 2
134 103 14
307 261 6
403 404 6
77 200 3
308 477 7
145 493 13
231 232 3
149 114 7
48 129 20
85 222 16
486 487 10
209 234 19
53 103 20
377 18 13
186 187 5
253 427 4
185 157 14
164 322 19
460 362 17
129 101 15
216 217 16
281 430 5
223 492 6
464 197 7
17 426 4
172 173 7
369 370 14
92 478 2
478 133 1
155 346 19
177 368 12
111 231 13
270 442 1
43 22 2
325 396 8
250 152 18
104 141 11
249 402 19
307 279 8
5 287 10
9 139 18
80 389 9
208 367 4
8 362 2
157 158 1
275 420 8
215 225 1
340 341 5
111 486 15
368 383 17
431 376 10
221 19 3
349 273 1
139 102 16
74 343 17
191 192 3
151 152 20
267 126 14
156 157 8
14 15 17
287 288 13
338 58 11
246 493 10
489 490 8
139 90 19
248 292 17
69 27 1
15 386 13
16 106 20
338 339 1
435 21 1
143 248 17
137 270 15
91 92 16
316 317 12
326 211 13
126 127 15
488 53 15
268 262 3
33 34 13
166 86 9
348 349 12
286 11 14
348 181 19
332 333 1
209 145 7
17 18 1
315 87 4
274 116 4
220 118 8
376 35 14
60 324 18
129 39 20
233 386 11
83 296 11
258 245 2
330 331 20
184 341 12
400 493 17
362 78 1
386 387 18
321 322 13
442 204 1
352 50 12
356 274 14
469 166 20
410 386 1
256 491 6
319 320 8
459 460 20
419 11 18
194 215 19
268 152 6
311 312 14
381 382 7
426 370 2
393 54 18
27 81 1
282 93 16
138 188 20
270 37 17
420 421 6
72 130 4
190 91 20
239 240 15
357 358 14
284 390 8
109 433 13
91 37 11
396 297 6
301 378 11
410 411 7
145 119 6
366 367 1
445 446 1
454 118 14
493 494 7
63 41 3
321 109 3
309 151 18
321 366 10
102 37 2
322 334 2
209 65 9
189 190 7
32 389 3
431 470 10
483 484 8
54 342 14
323 72 5
165 166 9
378 382 1
76 488 17
85 311 13
277 339 9
117 191 17
157 114 8
221 318 5
452 124 14
37 38 12
435 254 3
310 23 18
317 318 18
285 337 18
219 100 18
375 441 6
349 146 10
134 136 7
66 29 7
74 227 5
102 121 14
90 91 4
327 346 10
105 36 17
370 371 10
475 12 12
497 498 16
269 129 14
424 117 19
467 384 10
43 297 4
301 162 4
418 267 3
164 32 2
149 336 20
239 134 1
1 89 9
138 40 8
114 115 15
355 254 12
480 415 18
440 429 6
160 430 19
10 392 4
5 243 8
312 256 2
184 272 14
173 440 19
435 163 19
165 344 5
197 198 19
491 492 20
62 293 17
310 377 11
228 227 7
487 223 19
406 71 5
218 363 4
212 60 6
344 216 11
437 438 15
46 330 17
216 175 14
400 97 9
133 134 11
358 359 7
75 201 3
392 223 15
49 351 12
23 190 16
230 449 4
41 417 4
209 211 7
304 305 3
280 414 4
331 157 10
124 332 10
399 410 8
404 405 8
72 89 9
313 60 13
342 280 12
58 59 7
227 228 16
195 281 10
459 48 9
345 346 15
105 237 10
269 78 15
139 140 1
407 455 10
87 86 17
433 434 2
208 261 16
113 114 14
374 264 20
182 183 18
117 118 13
279 497 10
172 178 13
146 437 10
74 390 7
378 198 16
444 166 1
422 32 8
297 406 17
227 425 13
209 454 12
235 226 2
491 294 3
281 461 13
51 430 2
147 76 12
88 309 7
483 426 1
319 378 17
428 494 12
334 335 4
498 289 10
220 207 18
380 420 15
382 383 8
99 5 1
439 438 11
47 111 5
468 328 11
177 178 20
5 211 4
217 134 9
295 296 19
181 380 3
77 78 20
156 231 6
241 68 6
315 65 7
407 492 3
124 78 17
67 68 17
120 184 6
421 78 2
116 117 11
89 90 10
384 383 15
463 14 12
298 167 19
376 143 20
104 363 4
225 226 3
206 207 19
306 222 4
100 333 13
371 104 11
384 156 8
263 371 14
397 98 15
425 381 9
158 36 2
5 185 1
345 144 4
478 257 16
451 452 4
86 293 1
6 457 19
264 90 4
164 368 6
122 123 8
425 426 16
335 117 4
272 221 5
116 266 3
421 100 2
187 165 3
194 333 10
192 272 2
39 38 20
401 436 16
467 497 19
401 219 18
240 278 10
427 428 9
19 20 7
405 406 14
41 42 19
146 147 13
426 427 13
171 475 12
250 251 11
371 202 6
186 455 18
296 9 5
318 154 8
87 88 20
129 130 11
211 207 4
27 28 1
65 6 16
307 290 15
296 184 14
244 245 16
181 419 19
145 71 6
258 259 11
174 418 9
374 366 2
80 384 7
110 111 5
349 423 17
311 370 8
491 103 19
73 74 1
36 110 6
204 205 6
415 416 7
24 232 13
111 112 3
477 99 10
443 425 20
347 12 17
463 464 12
215 216 6
244 89 10
301 439 10
58 387 20
304 447 11
396 115 18
478 157 17
311 385 1
356 358 15
134 475 2
174 171 1
31 32 10
153 487 8
421 357 12
186 10 7
273 160 1
393 54 20
402 403 14
278 194 16
170 468 8
494 189 13
477 478 19
196 320 8
47 371 14
412 301 14
248 409 18
421 250 6
403 75 9
175 122 3
341 144 20
467 195 6
93 275 18
15 16 12
358 208 18
201 256 17
326 152 18
140 141 15
434 435 16
224 225 3
117 190 19
201 249 14
118 41 19
476 494 9
413 414 16
296 31 9
38 284 2
251 252 9
368 369 19
424 425 17
219 97 9
193 27 15
244 480 6
489 227 2
444 373 7
16 17 14
497 450 5
52 133 6
177 47 18
101 254 19
18 383 19
371 372 1
338 139 15
419 420 6
412 218 6
326 83 16
69 70 6
291 38 8
280 281 8
369 105 9
3 280 8
403 119 5
186 104 18
187 188 5
5 333 11
459 3 14
282 283 2
5 406 1
291 421 10
408 409 18
418 270 15
482 483 10
223 224 9
109 110 2
293 294 2
341 342 8
26 27 7
7 144 2
203 470 5
289 60 15
163 27 15
152 313 12
169 301 15
34 316 17
364 116 19
353 397 19
130 69 9
15 263 13
426 79 14
75 76 10
477 364 18
123 29 6
188 282 7
54 55 10
8 401 17
137 138 9
280 247 14
271 247 19
340 15 8
380 86 2
473 474 13
395 483 7
219 293 8
262 434 16
58 442 11
87 246 8
200 72 13
153 265 14
412 413 4
385 386 3
25 26 1
27 132 18
305 306 7
124 310 6
297 246 3
270 271 12
497 388 10
107 108 16
15 278 10
489 411 4
107 443 6
45 83 20
261 310 18
487 74 9
194 155 2
335 174 20
475 314 8
364 365 17
222 223 20
171 172 10
486 308 7
271 164 11
249 145 4
152 73 3
429 181 16
203 287 8
375 92 18
43 44 12
102 65 14
365 45 16
447 213 6
225 62 5
469 88 4
40 375 7
113 337 20
114 144 1
482 196 18
312 53 11
401 197 11
468 305 7
185 403 15
50 197 12
30 237 3
460 168 12
444 431 3
9 10 16
401 402 7
278 135 11
72 73 11
255 120 7
106 333 12
52 199 6
57 58 20
482 212 3
62 63 8
343 260 4
369 126 7
19 460 2
447 448 7
317 7 10
432 71 15
214 215 16
247 314 3
132 133 6
171 342 2
339 404 4
494 205 16
95 336 8
289 393 10
108 109 8
443 206 16
254 255 4
191 450 6
480 436 18
33 448 17
130 246 7
100 101 14
188 418 10
62 10 15
239 153 12
28 29 16
493 498 1
97 98 20
187 159 10
77 104 6
388 335 15
13 442 1
10 97 5
109 1 6
56 286 13
396 397 9
32 33 14
257 258 10
389 322 13
310 132 8
278 112 18
234 235 2
410 154 1
470 471 1
47 136 3
89 347 8
74 34 2
44 45 4
150 353 4
50 416 18
64 269 15
270 278 9
496 70 6
36 37 10
247 248 12
106 210 16
84 85 16
313 93 19
223 221 8
375 255 20
127 128 8
288 289 19
462 404 18
436 11 8
170 145 4
131 352 10
290 494 15
327 328 17
394 165 15
401 191 19
392 350 5
139 221 10
95 96 16
246 249 17
7 115 11
279 256 5
213 214 15
263 309 8
308 309 12
65 457 16
145 146 15
301 305 12
212 229 11
113 343 15
440 441 4
112 460 18
154 189 20
335 336 16
228 229 19
307 308 19
450 169 2
438 72 2
65 306 4
248 311 2
409 123 8
456 368 8
118 182 11
114 123 20
15 28 11
290 493 9
408 486 8
78 35 19
133 283 15
166 131 10
408 327 20
18 19 20
362 363 6
166 290 3
168 368 14
104 441 4
269 270 3
352 497 16
70 377 7
337 412 17
79 395 6
41 482 8
169 170 3
163 164 19
480 381 3
143 144 15
106 107 12
451 199 11
148 149 3
380 293 8
355 303 4
178 209 10
313 328 9
88 393 17
138 499 19
229 184 4
295 245 7
253 254 5
432 39 2
66 63 4
34 35 10
241 159 14
78 118 7
9 220 1
235 288 1
498 499 16
56 57 3
49 382 14
76 373 11
495 114 1
115 176 18
104 105 8
10 11 16
449 450 19
112 399 10
243 244 5
443 444 15
166 358 20
482 429 5
227 248 8
259 260 19
446 212 3
247 288 19
493 440 7
488 290 9
7 235 6
5 6 4
252 446 19
477 399 1
401 482 17
201 202 15
454 455 20
29 30 12
417 418 4
273 3 5
85 86 10
355 299 1
318 214 8
211 410 11
157 276 5
23 186 14
261 45 19
139 83 15
29 151 14
34 46 14
282 164 1
303 112 16
4 33 4
400 115 3
29 26 19
384 388 9
403 317 18
318 319 2
167 99 11
212 299 4
134 267 16
266 262 11
25 444 14
128 346 2
128 129 4
390 391 16
194 182 9
167 168 3
129 79 8
235 427 19
141 142 15
181 360 3
236 294 8
155 126 18
211 212 8
41 237 18
200 103 2
49 373 17
118 264 14
89 433 13
229 4 17
324 192 20
144 387 20
79 280 18
78 114 17
338 40 19
132 488 4
409 410 13
278 436 15
214 475 11
492 493 12
74 123 17
98 99 11
114 467 1
388 389 13
235 236 19
262 235 14
110 105 9
313 212 20
310 121 20
385 196 2
363 299 9
269 446 19
12 208 8
37 343 20
278 279 9
355 138 14
489 490 11
236 237 17
163 41 4
156 413 9
290 126 19
475 87 3
13 318 6
363 196 10
337 338 15
388 362 9
84 177 13
287 138 5
14 111 1
441 138 16
464 193 7
415 497 19
450 137 15
69 460 12
171 191 2
199 152 1
142 143 3
422 202 4
411 412 12
183 258 16
11 444 6
105 453 14
480 478 4
485 337 18
68 69 14
190 191 12
9 465 9
205 343 2
322 323 6
180 181 9
391 392 10
397 342 7
145 196 15
306 418 4
371 484 12
212 153 15
11 349 10
77 116 5
233 234 1
52 179 7
324 135 19
220 324 8
296 493 1
281 433 7
183 276 18
42 43 13
274 275 13
209 210 8
102 414 15
240 50 6
38 133 1
82 498 13
323 266 9
216 276 3
41 464 17
133 409 10
444 445 15
256 168 6
85 445 3
333 334 19
458 236 1
92 93 12
212 213 14
477 32 11
344 5 8
154 155 11
449 114 2
172 36 11
454 12 13
376 377 14
345 451 11
47 48 18
389 371 6
86 87 11
423 424 5
474 434 2
135 136 5
23 24 20
282 269 6
480 253 10
450 451 5
104 342 10
34 135 11
26 29 15
421 193 16
475 138 6
365 447 13
275 368 19
352 353 19
87 224 18
375 376 1
298 67 1
8 84 7
48 363 11
39 22 19
462 267 5
375 76 10
499 196 15
340 16 14
388 307 7
305 177 12
306 307 9
232 100 18
208 209 19
475 476 19
9 179 17
191 27 7
68 64 14
248 249 6
234 329 19
326 358 5
268 177 18
426 57 19
498 457 3
30 496 19
499 257 2
372 348 13
70 26 16
248 412 5
466 66 18
272 273 13
204 211 15
194 195 1
90 105 17
439 390 7
373 481 20
320 321 17
476 185 17
277 278 5
101 391 20
88 70 3
124 68 3
423 209 19
350 73 20
245 497 4
278 262 1
344 459 14
173 140 16
341 478 3
448 251 11
30 210 19
485 465 6
468 469 5
217 389 19
178 179 2
132 363 3
291 292 13
101 188 19
7 425 11
40 140 8
185 139 16
275 109 4
264 289 20
75 103 19
374 326 12
39 36 11
83 84 19
237 238 8
427 132 11
256 368 7
407 49 12
483 141 15
48 28 1
376 371 12
83 240 6
98 262 9
87 48 6
331 290 11
437 418 7
160 312 10
238 347 4
356 52 13
395 282 8
366 384 4
236 450 16
153 310 13
441 52 12
24 25 3
403 211 2
413 287 4
96 97 6
153 397 17
82 488 9
446 447 5
318 380 19
188 46 5
232 99 10
309 195 15
247 413 6
146 4 13
351 170 9
65 34 6
350 351 9
74 176 17
374 192 7
74 473 11
196 197 19
496 151 5
315 316 14
358 20 8
166 167 13
436 491 13
426 360 13
4 5 6
460 461 14
348 201 13
260 45 7
335 167 8
136 137 6
284 285 11
158 132 14
166 464 12
420 311 15
493 472 8
460 495 11
211 15 4
60 82 6
128 322 10
59 131 17
313 374 20
118 183 5
182 19 14
242 164 20
496 85 9
415 105 14
1 190 10
383 384 4
228 131 11
241 242 7
411 466 8
123 336 13
33 308 15
428 49 18
30 31 10
465 371 10
304 227 20
274 211 5
436 228 2
258 484 11
66 316 4
389 182 12
342 343 5
108 9 20
490 438 3
16 77 3
105 441 6
11 368 13
441 442 20
201 213 12
47 107 18
460 380 15
417 139 18
181 283 17
471 472 4
144 277 1
476 195 14
436 437 9
260 261 7
400 401 19
213 416 7
127 159 10
477 138 4
425 205 18
174 175 2
495 200 17
126 89 6
439 440 17
445 431 14
224 309 15
141 331 13
268 269 2
199 10 17
78 79 6
123 203 3
465 466 8
455 456 6
201 440 8
380 184 4
387 497 20
397 322 7
414 184 14
461 462 18
347 150 3
458 289 10
384 385 20
